electrical_storage,cooling_or_heating_device
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.29999999999999993
-0.29999999999999993,-0.29999999999999993
-0.29999999999999993,-0.29999999999999993
-0.29999999999999993,-0.29999999999999993
-0.29999999999999993,-0.29999999999999993
-0.29999999999999993,-0.29999999999999993
-0.29999999999999993,-0.29999999999999993
-0.29999999999999993,-0.29999999999999993
-0.8,-0.8
-0.8,-0.8
-0.29999999999999993,-0.29999999999999993
-0.5,-0.5
-0.5,-0.5
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.6,-0.6
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.5,-0.5
-0.5,-0.5
-0.3999999999999999,-0.3999999999999999
-0.3999999999999999,-0.3999999999999999
-0.3999999999999999,-0.3999999999999999
-0.3999999999999999,-0.3999999999999999
-0.3999999999999999,-0.3999999999999999
-0.3999999999999999,-0.3999999999999999
-0.5,-0.5
-0.5,-0.5
-0.5,-0.5
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.6,-0.6
-0.6,-0.6
-0.6,-0.6
-0.8,-0.8
-0.8,-0.8
-0.8,-0.6
-0.6,-0.6
-0.5,-0.5
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.6,-0.6
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.5,-0.5
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.5,-0.5
-0.19999999999999996,-0.19999999999999996
-0.5,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.19999999999999996,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.3999999999999999,-0.3999999999999999
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.3999999999999999,-0.3999999999999999
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.6
-0.3999999999999999,-0.19999999999999996
-0.6,-0.6
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.3999999999999999,-0.3999999999999999
-0.3999999999999999,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.5,-0.5
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.5,-0.5
-0.5,-0.5
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.8
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.09999999999999998,-0.09999999999999998
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.19999999999999996,-0.19999999999999996
-0.3999999999999999,-0.3999999999999999
-0.8,-0.8
-0.8,-0.8
-0.8,-0.8
-0.19999999999999996,-0.19999999999999996
-0.8,-0.8
