dhw_storage,electrical_storage,cooling_or_heating_device
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
0.034,0.034,0.8
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
0.05532,0.05532,0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.02,-0.02,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.044,-0.044,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,-0.4
-0.024,-0.024,0.8
-0.024,-0.024,0.8
0.034,0.034,0.8
